word,start,end,prob,explicit,conflictual,profanity,drugs,sex,selfharm,spam,not-sensitive
regulators,4.120000000000003,4.6,0.7661638855934143,0,0.010057272389531136,0.006066854577511549,0.007173672318458557,0.004967892076820135,0.00544894440099597,0.007271870039403439,0.9712603092193604
we,5.32,5.48,0.9022937417030334,0,0.0101188188418746,0.007302269339561462,0.006590717006474733,0.004668434150516987,0.005450784228742123,0.0070711770094931126,0.9716233015060425
regulate,5.48,5.8,0.9910069108009338,0,0.010387697257101536,0.0068071577697992325,0.006535786669701338,0.0045606959611177444,0.0054205721244215965,0.008014984428882599,0.9706536531448364
any,5.8,6.1,0.983365833759308,0,0.012043653056025505,0.005855917930603027,0.0060704611241817474,0.004496917128562927,0.006560239475220442,0.006516112945973873,0.9741445183753967
stealing,6.1,6.48,0.8784052133560181,0,0.011212727054953575,0.004854942671954632,0.006891279481351376,0.00490066222846508,0.006506494712084532,0.007321433164179325,0.9766444563865662
of,6.48,6.72,0.9731845855712892,0,0.008476885966956615,0.006283911410719156,0.006751139182597399,0.006046974565833807,0.008156804367899895,0.005126838572323322,0.9776905179023743
his,6.72,6.92,0.9765928983688354,0,0.012215339578688145,0.004770728759467602,0.0057807122357189655,0.005234487354755402,0.007031707558780909,0.006602991838008165,0.971238374710083
property,6.92,7.34,0.9951753616333008,0,0.00911981426179409,0.005593067035079002,0.00731359189376235,0.00588696263730526,0.007019375450909138,0.006047137547284365,0.9778801798820496
were,7.52,7.74,0.9717912375926973,0,0.008479171432554722,0.016560398042201996,0.0049922531470656395,0.0064791408367455006,0.005180890206247568,0.004178391303867102,0.950894296169281
damn,7.74,8.04,0.9630154371261596,0,0.007035107351839542,0.022689323872327805,0.006974655669182539,0.005936852656304836,0.004015063401311636,0.00403271708637476,0.9409611225128174
good,8.04,8.36,0.9968944787979126,0,0.007125610485672951,0.033761799335479736,0.007562414743006229,0.005007760599255562,0.003363677766174078,0.0034959185868501663,0.9235806465148926
too,8.36,8.72,0.7511956691741943,0,0.006153787951916456,0.015435498207807541,0.007842346094548702,0.005074297543615103,0.005991338286548853,0.0040998863987624645,0.9609146118164062
but,9.14,9.42,0.9919018149375916,0,0.007107443176209927,0.007673204876482487,0.007055461872369051,0.005935861263424158,0.008853147737681866,0.004702175501734018,0.9719488024711609
