DALI_ID,NAME,YOUTUBE,WORKING
e186227bb7474fa5a7738c9108f11972,Staind-Tangled_Up_In_You,NXG-ayocugI,True
520f583def024997adcab0567fb25a5d,Boyzone-Baby_Can_I_Hold_You,ZjSLNZ9MsMI,True
0f46aeae45ed4e6987f8b35e40d96c59,The_Killers-For_Reasons_Unknown,TG5X4kOjEX8,True
f0226382730a4d339283c0e2cfaad43b,Olivia_Newton_John-A_Little_More_Love,4RFK8Ft-GNQ,True
3d45ce1696a14969b02b462f52a46d26,Magtens_Korridorer-Nordhavn_Station,aJCOAZMn9pU,True
a312e4575d594bd7809440184c8b313a,Alain_Souchon-La_Ballade_De_Jim,lEUy2cGJwG0,True
baa8e0c3b77746ef8ccedf64a7009433,Entwine-Losing_The_Ground,PbVYg0EVpek,True
b0cf5a07152f49fda6896cd26733ec4b,Muse-In_Your_World,lqmTQnW01qc,True
298f9fea64d045249b9a6fe07838124f,Three_Days_Grace-Get_Out_Alive,g8M8OHWX8ng,True
0d1dc75119924fcf8bcd9f28bb2e4ffc,Die_Ärzte-Trick_17_M.S.,r5K2wyoRlu0,True
2ca4bcc3104d4b4d854c045577458513,Lea_Michele-Thousand_Needles,ZTNKZnRSlxE,True
603fdd91428444cfbc34f1d1e2b5bfbc,Alex_Baroni-Onde,oz6jmDUIlxA,True
822d902e27b14845b739e35832f460a8,Skillet-Imperfection,4EneFhgjwWk,True
751380b763374b2e902f77a7dec576af,Green_Day-Castaway,9mg-jwIIliU,True
848d6d923e9341ec805761c69499596a,Black_Sabbath-Neon_Knights,Jn-5-9-V1k0,True
58ec921634164d11b13202c56d7451eb,Kelly_Clarkson-Dark_Side,RR-21ulMT2w,True
5698f487a7cc46fbb9f2cc5612567975,System_Of_A_Down-Holy_Mountains,Bx0Lwn4Kv7U,True
401559f30dc04330a97bef1cedf474fb,Sia-Breathe_Me,SFGvmrJ5rjM,True
9d653d7736e842b3842dfa8433bc0cee,Uniklubi-Kaikki_Mitä_Mä_Annoin,jcmuMVxhWKY,False
